Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,1.896499999999999986e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.007844448089599609e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.811700000000000088e+01,1.896499999999999986e+01,2.500000000000000000e+01,2.300000000000000000e+01
2.146960496902465820e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.814900000000000091e+01,1.896499999999999986e+01,2.500000000000000000e+01,2.300000000000000000e+01
3.154636144638061523e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.814900000000000091e+01,1.902899999999999991e+01,2.500000000000000000e+01,2.300000000000000000e+01
4.145016670227050781e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.824599999999999866e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
5.160106658935546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.824599999999999866e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
6.149290561676025391e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.824599999999999866e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
7.166087865829467773e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.818199999999999861e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
8.147284746170043945e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.814900000000000091e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
9.164156675338745117e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.805300000000000082e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.014690303802490234e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.802100000000000080e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.116788125038146973e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
1.214212465286254883e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.798799999999999955e+01,1.928699999999999903e+01,2.500000000000000000e+01,2.300000000000000000e+01
